<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;06.09.2018;12:45:00;106660;106680;106660;106680;2
SPFB.RTS-12.18;1;06.09.2018;12:46:00;106640;106640;106570;106610;5
SPFB.RTS-12.18;1;06.09.2018;12:47:00;106600;106610;106600;106610;2
SPFB.RTS-12.18;1;06.09.2018;12:48:00;106620;106620;106600;106600;3
SPFB.RTS-12.18;1;06.09.2018;12:49:00;106600;106600;106600;106600;3
SPFB.RTS-12.18;1;06.09.2018;12:50:00;106600;106650;106600;106650;3
SPFB.RTS-12.18;1;06.09.2018;12:51:00;106650;106660;106620;106620;3
SPFB.RTS-12.18;1;06.09.2018;12:52:00;106610;106610;106600;106600;2
SPFB.RTS-12.18;1;06.09.2018;12:53:00;106600;106600;106600;106600;5
SPFB.RTS-12.18;1;06.09.2018;12:54:00;106600;106600;106590;106590;2
SPFB.RTS-12.18;1;06.09.2018;12:55:00;106590;106590;106550;106550;3
SPFB.RTS-12.18;1;06.09.2018;12:56:00;106540;106540;106540;106540;2
SPFB.RTS-12.18;1;06.09.2018;12:57:00;106540;106560;106540;106560;4
SPFB.RTS-12.18;1;06.09.2018;12:58:00;106550;106550;106550;106550;2
SPFB.RTS-12.18;1;06.09.2018;12:59:00;106550;106550;106540;106540;3
SPFB.RTS-12.18;1;06.09.2018;13:00:00;106540;106540;106540;106540;2
SPFB.RTS-12.18;1;06.09.2018;13:01:00;106560;106630;106560;106620;5
SPFB.RTS-12.18;1;06.09.2018;13:02:00;106590;106610;106590;106610;2
SPFB.RTS-12.18;1;06.09.2018;13:03:00;106610;106640;106610;106640;3
SPFB.RTS-12.18;1;06.09.2018;13:04:00;106630;106650;106630;106650;2
SPFB.RTS-12.18;1;06.09.2018;13:05:00;106640;106640;106620;106620;3
SPFB.RTS-12.18;1;06.09.2018;13:06:00;106660;106660;106650;106650;2
SPFB.RTS-12.18;1;06.09.2018;13:07:00;106670;106670;106630;106630;9
SPFB.RTS-12.18;1;06.09.2018;13:08:00;106650;106650;106630;106630;3
SPFB.RTS-12.18;1;06.09.2018;13:09:00;106620;106620;106610;106610;3
SPFB.RTS-12.18;1;06.09.2018;13:10:00;106620;106620;106620;106620;2
SPFB.RTS-12.18;1;06.09.2018;13:11:00;106620;106620;106580;106580;4
SPFB.RTS-12.18;1;06.09.2018;13:12:00;106600;106600;106600;106600;2
SPFB.RTS-12.18;1;06.09.2018;13:13:00;106610;106610;106590;106590;3
SPFB.RTS-12.18;1;06.09.2018;13:14:00;106590;106590;106580;106580;3
SPFB.RTS-12.18;1;06.09.2018;13:15:00;106580;106580;106560;106570;3
SPFB.RTS-12.18;1;06.09.2018;13:16:00;106590;106590;106530;106530;3
SPFB.RTS-12.18;1;06.09.2018;13:17:00;106520;106560;106510;106510;6
SPFB.RTS-12.18;1;06.09.2018;13:18:00;106470;106500;106470;106500;3
SPFB.RTS-12.18;1;06.09.2018;13:19:00;106500;106500;106440;106440;3
SPFB.RTS-12.18;1;06.09.2018;13:20:00;106440;106460;106440;106460;3
SPFB.RTS-12.18;1;06.09.2018;13:21:00;106470;106470;106470;106470;31
SPFB.RTS-12.18;1;06.09.2018;13:22:00;106470;106480;106470;106480;4
SPFB.RTS-12.18;1;06.09.2018;13:23:00;106490;106500;106490;106500;2
SPFB.RTS-12.18;1;06.09.2018;13:24:00;106510;106520;106490;106490;3
SPFB.RTS-12.18;1;06.09.2018;13:25:00;106490;106490;106490;106490;2
SPFB.RTS-12.18;1;06.09.2018;13:26:00;106490;106490;106490;106490;3
SPFB.RTS-12.18;1;06.09.2018;13:27:00;106490;106490;106470;106470;2
SPFB.RTS-12.18;1;06.09.2018;13:28:00;106470;106470;106470;106470;3
SPFB.RTS-12.18;1;06.09.2018;13:29:00;106480;106480;106470;106470;2
SPFB.RTS-12.18;1;06.09.2018;13:30:00;106470;106470;106470;106470;3
SPFB.RTS-12.18;1;06.09.2018;13:31:00;106470;106470;106440;106440;15
SPFB.RTS-12.18;1;06.09.2018;13:32:00;106450;106500;106450;106460;4
SPFB.RTS-12.18;1;06.09.2018;13:33:00;106470;106470;106470;106470;2
SPFB.RTS-12.18;1;06.09.2018;13:34:00;106500;106540;106500;106540;3
SPFB.RTS-12.18;1;06.09.2018;13:35:00;106520;106520;106500;106500;2
SPFB.RTS-12.18;1;06.09.2018;13:36:00;106480;106510;106480;106510;3
SPFB.RTS-12.18;1;06.09.2018;13:37:00;106520;106540;106520;106540;3
SPFB.RTS-12.18;1;06.09.2018;13:38:00;106510;106530;106510;106530;2
SPFB.RTS-12.18;1;06.09.2018;13:39:00;106530;106530;106530;106530;3
SPFB.RTS-12.18;1;06.09.2018;13:40:00;106510;106520;106510;106520;2
SPFB.RTS-12.18;1;06.09.2018;13:41:00;106530;106570;106530;106560;3
SPFB.RTS-12.18;1;06.09.2018;13:42:00;106560;106560;106550;106550;2
SPFB.RTS-12.18;1;06.09.2018;13:43:00;106550;106560;106550;106560;3
SPFB.RTS-12.18;1;06.09.2018;13:44:00;106550;106560;106550;106560;2
SPFB.RTS-12.18;1;06.09.2018;13:45:00;106560;106560;106560;106560;3
SPFB.RTS-12.18;1;06.09.2018;13:46:00;106550;106550;106550;106550;47
SPFB.RTS-12.18;1;06.09.2018;13:47:00;106500;106520;106500;106520;3
SPFB.RTS-12.18;1;06.09.2018;13:48:00;106530;106530;106520;106520;2
SPFB.RTS-12.18;1;06.09.2018;13:49:00;106520;106580;106520;106580;3
SPFB.RTS-12.18;1;06.09.2018;13:50:00;106590;106590;106540;106540;2
SPFB.RTS-12.18;1;06.09.2018;13:51:00;106540;106560;106540;106560;3
SPFB.RTS-12.18;1;06.09.2018;13:52:00;106540;106540;106540;106540;2
SPFB.RTS-12.18;1;06.09.2018;13:53:00;106540;106550;106540;106540;3
SPFB.RTS-12.18;1;06.09.2018;13:54:00;106540;106540;106540;106540;2
SPFB.RTS-12.18;1;06.09.2018;13:55:00;106530;106530;106530;106530;3
SPFB.RTS-12.18;1;06.09.2018;13:56:00;106530;106540;106530;106540;2
SPFB.RTS-12.18;1;06.09.2018;13:57:00;106550;106580;106550;106580;3
SPFB.RTS-12.18;1;06.09.2018;13:58:00;106580;106580;106580;106580;2
SPFB.RTS-12.18;1;06.09.2018;13:59:00;106590;106590;106580;106580;3
SPFB.RTS-12.18;1;06.09.2018;14:00:00;106580;106580;106580;106580;2
SPFB.RTS-12.18;1;06.09.2018;14:07:00;106640;106640;106570;106570;64
SPFB.RTS-12.18;1;06.09.2018;14:08:00;106520;106540;106520;106540;51
SPFB.RTS-12.18;1;06.09.2018;14:09:00;106560;106570;106560;106570;24
SPFB.RTS-12.18;1;06.09.2018;14:10:00;106550;106550;106530;106530;105
SPFB.RTS-12.18;1;06.09.2018;14:11:00;106560;106560;106540;106550;26
SPFB.RTS-12.18;1;06.09.2018;14:12:00;106570;106570;106560;106560;29
SPFB.RTS-12.18;1;06.09.2018;14:13:00;106560;106560;106550;106550;36
SPFB.RTS-12.18;1;06.09.2018;14:14:00;106540;106540;106540;106540;15
SPFB.RTS-12.18;1;06.09.2018;14:15:00;106560;106560;106550;106550;30
SPFB.RTS-12.18;1;06.09.2018;14:16:00;106560;106560;106530;106530;121
SPFB.RTS-12.18;1;06.09.2018;14:17:00;106540;106540;106540;106540;21
SPFB.RTS-12.18;1;06.09.2018;14:18:00;106530;106530;106520;106520;79
SPFB.RTS-12.18;1;06.09.2018;14:20:00;106550;106570;106550;106570;31
SPFB.RTS-12.18;1;06.09.2018;14:21:00;106570;106620;106570;106620;38
SPFB.RTS-12.18;1;06.09.2018;14:22:00;106630;106630;106580;106580;75
SPFB.RTS-12.18;1;06.09.2018;14:23:00;106580;106580;106570;106570;5
SPFB.RTS-12.18;1;06.09.2018;14:25:00;106520;106520;106520;106520;10
SPFB.RTS-12.18;1;06.09.2018;14:27:00;106570;106570;106570;106570;2
SPFB.RTS-12.18;1;06.09.2018;14:28:00;106550;106550;106550;106550;26
SPFB.RTS-12.18;1;06.09.2018;14:31:00;106580;106580;106580;106580;1
SPFB.RTS-12.18;1;06.09.2018;14:32:00;106580;106580;106580;106580;28
SPFB.RTS-12.18;1;06.09.2018;14:33:00;106610;106610;106610;106610;6
SPFB.RTS-12.18;1;06.09.2018;14:46:00;106590;106600;106590;106600;25
SPFB.RTS-12.18;1;06.09.2018;14:48:00;106580;106580;106580;106580;13
SPFB.RTS-12.18;1;06.09.2018;14:51:00;106640;106650;106640;106650;14
SPFB.RTS-12.18;1;06.09.2018;14:54:00;106700;106700;106670;106670;8
SPFB.RTS-12.18;1;06.09.2018;14:58:00;106680;106680;106680;106680;50
SPFB.RTS-12.18;1;06.09.2018;15:00:00;106700;106700;106700;106700;1
SPFB.RTS-12.18;1;06.09.2018;15:07:00;106720;106720;106720;106720;50
SPFB.RTS-12.18;1;06.09.2018;15:12:00;106650;106650;106640;106640;4
SPFB.RTS-12.18;1;06.09.2018;15:18:00;106600;106600;106580;106580;20
SPFB.RTS-12.18;1;06.09.2018;15:30:00;106550;106550;106550;106550;11
SPFB.RTS-12.18;1;06.09.2018;15:31:00;106540;106540;106500;106530;48
SPFB.RTS-12.18;1;06.09.2018;15:36:00;106580;106580;106580;106580;2
SPFB.RTS-12.18;1;06.09.2018;15:43:00;106530;106530;106530;106530;2
SPFB.RTS-12.18;1;06.09.2018;15:44:00;106500;106500;106500;106500;1
SPFB.RTS-12.18;1;06.09.2018;15:47:00;106470;106470;106400;106400;12
SPFB.RTS-12.18;1;06.09.2018;15:48:00;106370;106370;106300;106330;9
SPFB.RTS-12.18;1;06.09.2018;15:49:00;106290;106300;106280;106280;51
SPFB.RTS-12.18;1;06.09.2018;15:50:00;106280;106280;106210;106210;45
SPFB.RTS-12.18;1;06.09.2018;15:51:00;106190;106210;106120;106190;22
SPFB.RTS-12.18;1;06.09.2018;15:52:00;106150;106180;106150;106180;3
SPFB.RTS-12.18;1;06.09.2018;15:54:00;106260;106260;106240;106240;6
SPFB.RTS-12.18;1;06.09.2018;15:55:00;106290;106290;106290;106290;1
SPFB.RTS-12.18;1;06.09.2018;15:56:00;106250;106250;106250;106250;55
SPFB.RTS-12.18;1;06.09.2018;16:01:00;106300;106300;106300;106300;1
SPFB.RTS-12.18;1;06.09.2018;16:02:00;106260;106260;106260;106260;2
SPFB.RTS-12.18;1;06.09.2018;16:03:00;106240;106240;106240;106240;1
SPFB.RTS-12.18;1;06.09.2018;16:04:00;106210;106210;106210;106210;50
SPFB.RTS-12.18;1;06.09.2018;16:05:00;106170;106180;106170;106180;3
SPFB.RTS-12.18;1;06.09.2018;16:06:00;106150;106160;105950;105950;72
SPFB.RTS-12.18;1;06.09.2018;16:07:00;105920;105920;105850;105890;140
SPFB.RTS-12.18;1;06.09.2018;16:08:00;105910;105910;105910;105910;1
SPFB.RTS-12.18;1;06.09.2018;16:09:00;105950;105990;105890;105890;23
SPFB.RTS-12.18;1;06.09.2018;16:10:00;105850;105850;105780;105820;30
SPFB.RTS-12.18;1;06.09.2018;16:11:00;105860;105860;105860;105860;7
SPFB.RTS-12.18;1;06.09.2018;16:12:00;105860;105860;105620;105640;118
SPFB.RTS-12.18;1;06.09.2018;16:13:00;105720;105760;105610;105610;55
SPFB.RTS-12.18;1;06.09.2018;16:14:00;105610;105670;105540;105670;32
SPFB.RTS-12.18;1;06.09.2018;16:15:00;105630;105720;105630;105690;8
SPFB.RTS-12.18;1;06.09.2018;16:17:00;105620;105620;105290;105320;120
SPFB.RTS-12.18;1;06.09.2018;16:18:00;105350;105400;105160;105400;73
SPFB.RTS-12.18;1;06.09.2018;16:19:00;105290;105440;105290;105440;28
SPFB.RTS-12.18;1;06.09.2018;16:20:00;105490;105510;105470;105470;27
SPFB.RTS-12.18;1;06.09.2018;16:21:00;105450;105470;105450;105470;15
SPFB.RTS-12.18;1;06.09.2018;16:22:00;105420;105420;105350;105360;11
SPFB.RTS-12.18;1;06.09.2018;16:23:00;105410;105410;105410;105410;5
SPFB.RTS-12.18;1;06.09.2018;16:24:00;105430;105430;105430;105430;1
SPFB.RTS-12.18;1;06.09.2018;16:26:00;105380;105390;105380;105390;2
SPFB.RTS-12.18;1;06.09.2018;16:27:00;105400;105400;105400;105400;7
SPFB.RTS-12.18;1;06.09.2018;16:28:00;105470;105470;105470;105470;1
SPFB.RTS-12.18;1;06.09.2018;16:29:00;105320;105320;105320;105320;6
SPFB.RTS-12.18;1;06.09.2018;16:30:00;105340;105360;105340;105360;3
SPFB.RTS-12.18;1;06.09.2018;16:31:00;105340;105360;105340;105360;4
SPFB.RTS-12.18;1;06.09.2018;16:32:00;105300;105320;105300;105300;13
SPFB.RTS-12.18;1;06.09.2018;16:33:00;105390;105390;105390;105390;6
SPFB.RTS-12.18;1;06.09.2018;16:34:00;105410;105410;105330;105360;77
SPFB.RTS-12.18;1;06.09.2018;16:35:00;105360;105360;105360;105360;1
SPFB.RTS-12.18;1;06.09.2018;16:36:00;105380;105410;105380;105410;5
SPFB.RTS-12.18;1;06.09.2018;16:38:00;105450;105460;105410;105410;6
SPFB.RTS-12.18;1;06.09.2018;16:39:00;105450;105450;105450;105450;1
SPFB.RTS-12.18;1;06.09.2018;16:40:00;105450;105450;105410;105410;3
SPFB.RTS-12.18;1;06.09.2018;16:41:00;105320;105320;105290;105290;67
SPFB.RTS-12.18;1;06.09.2018;16:42:00;105300;105300;105240;105240;299
SPFB.RTS-12.18;1;06.09.2018;16:43:00;105240;105240;105200;105200;56
SPFB.RTS-12.18;1;06.09.2018;16:45:00;105220;105220;105180;105180;13
SPFB.RTS-12.18;1;06.09.2018;16:46:00;105150;105150;105090;105120;10
SPFB.RTS-12.18;1;06.09.2018;16:47:00;105090;105160;105090;105120;24
SPFB.RTS-12.18;1;06.09.2018;16:49:00;105180;105180;105180;105180;1
SPFB.RTS-12.18;1;06.09.2018;16:50:00;105240;105260;105240;105260;11
SPFB.RTS-12.18;1;06.09.2018;16:51:00;105250;105250;105230;105230;25
SPFB.RTS-12.18;1;06.09.2018;16:52:00;105230;105230;105190;105190;3
SPFB.RTS-12.18;1;06.09.2018;16:55:00;105250;105250;105250;105250;1
SPFB.RTS-12.18;1;06.09.2018;16:56:00;105320;105340;105320;105340;3
SPFB.RTS-12.18;1;06.09.2018;16:58:00;105300;105300;105300;105300;1
SPFB.RTS-12.18;1;06.09.2018;16:59:00;105280;105280;105270;105270;2
SPFB.RTS-12.18;1;06.09.2018;17:00:00;105290;105290;105250;105250;3
SPFB.RTS-12.18;1;06.09.2018;17:01:00;105240;105240;105220;105220;4
SPFB.RTS-12.18;1;06.09.2018;17:02:00;105200;105200;105170;105170;45
